x1x2 v x10
x1 [2;infinity]
x2 [3;infinity]
x3 [2;4]
x9 [2;infinity]

bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,class,,Boolean representation
4,2,3,yes,no,no,no,yes,2,yes,1,,=1,0,1,1,0,0,0,1,1,1,1,
4,4,4,yes,no,no,no,yes,3,no,1,,=1,1,1,1,0,0,0,1,1,0,1,
3,2,2,yes,no,yes,no,no,2,yes,1,,=1,0,1,1,0,1,0,0,1,1,1,
4,2,2,yes,no,yes,no,yes,3,yes,1,,=1,0,1,1,0,1,0,1,1,1,1,
3,1,3,yes,no,yes,no,no,0,yes,1,,=1,0,1,1,0,1,0,0,0,1,1,
3,3,1,yes,no,yes,no,yes,2,yes,1,,=1,1,0,1,0,1,0,1,1,1,1,
4,3,4,yes,no,no,no,yes,2,yes,1,,=1,1,1,1,0,0,0,1,1,1,1,
5,3,2,yes,no,no,no,no,0,no,1,,=1,1,1,1,0,0,0,0,0,0,1,
4,1,2,yes,yes,yes,no,yes,2,yes,1,,=1,0,1,1,1,1,0,1,1,1,1,
3,2,4,yes,yes,no,no,yes,1,yes,1,,=1,0,1,1,1,0,0,1,0,1,1,
3,1,2,yes,no,yes,no,yes,2,yes,1,,=1,0,1,1,0,1,0,1,1,1,1,
4,3,2,yes,yes,yes,yes,no,2,no,1,,=1,1,1,1,1,1,1,0,1,0,1,
4,2,2,yes,no,no,no,yes,1,yes,1,,=1,0,1,1,0,0,0,1,0,1,1,
3,1,1,yes,yes,yes,no,yes,0,yes,1,,=1,0,0,1,1,1,0,1,0,1,1,
3,2,2,yes,no,no,no,no,0,yes,1,,=1,0,1,1,0,0,0,0,0,1,1,
3,2,2,yes,yes,yes,no,no,1,yes,1,,=1,0,1,1,1,1,0,0,0,1,1,
4,2,2,yes,yes,yes,no,yes,1,yes,1,,=1,0,1,1,1,1,0,1,0,1,1,
3,1,1,yes,yes,yes,no,no,2,yes,1,,=1,0,0,1,1,1,0,0,1,1,1,
2,1,2,yes,yes,yes,no,no,0,yes,1,,=1,0,1,1,1,1,0,0,0,1,1,
3,2,2,yes,no,no,no,yes,1,yes,1,,=1,0,1,1,0,0,0,1,0,1,1,
3,1,1,yes,no,yes,no,yes,2,yes,1,,=1,0,0,1,0,1,0,1,1,1,1,
3,1,1,yes,no,yes,no,no,2,yes,1,,=1,0,0,1,0,1,0,0,1,1,1,
4,3,2,yes,no,yes,no,no,2,no,1,,=1,1,1,1,0,1,0,0,1,0,1,
3,1,1,yes,yes,yes,no,yes,2,yes,1,,=1,0,0,1,1,1,0,1,1,1,1,
3,2,1,yes,yes,yes,no,no,0,yes,1,,=1,0,0,1,1,1,0,0,0,1,1,
4,2,2,yes,yes,yes,no,yes,2,yes,1,,=1,0,1,1,1,1,0,1,1,1,1,
3,2,4,yes,yes,yes,no,yes,0,yes,1,,=1,0,1,1,1,1,0,1,0,1,1,
3,1,2,yes,no,no,no,no,2,yes,1,,=1,0,1,1,0,0,0,0,1,1,1,
3,1,1,yes,no,yes,no,yes,0,yes,1,,=1,0,0,1,0,1,0,1,0,1,1,
4,2,2,yes,no,yes,no,yes,1,yes,1,,=1,0,1,1,0,1,0,1,0,1,1,
3,1,1,yes,no,yes,no,yes,2,yes,1,,=1,0,0,1,0,1,0,1,1,1,1,
3,1,1,yes,yes,yes,no,no,2,yes,1,,=1,0,0,1,1,1,0,0,1,1,1,
4,2,2,yes,no,no,no,yes,1,yes,1,,=1,0,1,1,0,0,0,1,0,1,1,
3,3,2,yes,yes,yes,no,no,1,no,1,,=1,1,1,1,1,1,0,0,0,0,1,
